img_path,mask_path
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (4).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (4)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (180).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (180)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (369).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (369)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (73).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (73)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (432).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (432)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (196).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (196)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (129).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (129)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (3).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (3)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (7).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (7)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (324).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (324)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (46).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (46)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (218).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (218)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (55).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (55)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (205).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (205)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (431).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (431)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (186).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (186)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (186).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (186)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (37).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (37)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (239).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (239)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (216).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (216)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (62).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (62)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (33).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (33)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (97).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (97)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (30).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (30)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (63).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (63)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (402).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (402)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (49).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (49)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (191).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (191)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (308).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (308)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (429).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (429)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (147).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (147)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (74).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (74)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (228).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (228)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (29).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (29)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (70).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (70)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (367).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (367)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (277).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (277)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (15).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (15)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (55).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (55)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (133).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (133)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (63).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (63)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (266).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (266)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (417).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (417)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (221).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (221)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (101).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (101)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (142).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (142)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (14).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (14)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (178).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (178)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (85).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (85)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (404).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (404)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (20).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (20)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (236).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (236)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (339).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (339)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (215).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (215)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (89).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (89)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (141).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (141)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (153).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (153)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (145).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (145)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (105).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (105)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (134).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (134)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (126).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (126)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (309).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (309)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (294).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (294)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (195).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (195)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (10).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (10)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (177).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (177)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (220).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (220)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (187).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (187)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (360).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (360)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (10).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (10)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (118).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (118)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (47).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (47)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (385).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (385)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (376).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (376)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (115).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (115)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (45).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (45)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (147).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (147)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (19).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (19)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (34).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (34)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (56).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (56)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (190).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (190)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (2).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (2)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (84).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (84)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (150).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (150)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (255).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (255)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (322).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (322)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (75).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (75)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (71).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (71)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (416).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (416)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (48).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (48)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (138).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (138)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (336).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (336)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (271).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (271)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (5).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (5)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (306).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (306)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (146).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (146)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (222).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (222)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (167).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (167)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (113).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (113)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (379).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (379)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (58).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (58)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (302).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (302)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (372).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (372)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (224).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (224)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (205).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (205)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (265).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (265)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (272).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (272)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (144).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (144)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (133).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (133)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (171).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (171)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (48).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (48)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (130).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (130)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (353).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (353)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (197).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (197)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (428).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (428)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (356).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (356)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (116).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (116)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (251).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (251)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (52).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (52)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (35).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (35)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (154).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (154)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (91).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (91)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (104).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (104)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (423).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (423)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (184).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (184)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (293).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (293)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (386).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (386)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (206).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (206)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (313).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (313)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (282).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (282)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (361).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (361)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (229).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (229)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (381).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (381)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (26).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (26)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (44).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (44)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (47).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (47)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (327).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (327)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (212).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (212)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (4).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (4)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (122).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (122)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (139).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (139)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (39).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (39)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (121).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (121)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (130).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (130)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (295).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (295)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (84).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (84)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (88).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (88)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (6).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (6)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (318).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (318)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (76).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (76)_mask.png
