img_path,mask_path
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (53).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (53)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (137).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (137)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (315).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (315)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (203).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (203)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (196).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (196)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (226).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (226)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (81).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (81)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (68).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (68)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (245).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (245)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (11).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (11)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (347).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (347)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (141).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (141)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (189).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (189)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (359).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (359)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (166).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (166)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (86).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (86)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (80).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (80)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (178).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (178)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (156).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (156)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (348).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (348)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (333).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (333)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (230).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (230)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (350).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (350)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (202).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (202)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (243).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (243)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (21).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (21)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (122).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (122)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (111).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (111)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (188).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (188)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (391).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (391)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (81).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (81)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (92).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (92)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (240).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (240)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (83).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (83)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (400).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (400)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (183).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (183)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (430).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (430)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (24).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (24)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (79).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (79)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (69).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (69)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (18).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (18)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (250).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (250)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (102).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (102)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (67).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (67)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (68).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (68)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (418).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (418)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (131).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (131)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (154).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (154)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (146).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (146)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (203).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (203)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (285).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (285)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (317).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (317)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (182).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (182)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (242).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (242)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (310).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (310)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (153).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (153)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (42).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (42)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (119).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (119)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (36).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (36)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (114).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (114)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (140).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (140)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (421).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (421)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (420).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (420)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (87).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (87)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (238).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (238)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (301).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (301)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (268).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (268)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (433).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (433)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (331).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (331)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (32).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (32)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (208).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (208)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (89).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (89)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (160).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (160)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (209).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (209)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (261).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (261)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (67).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (67)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (49).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (49)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (112).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (112)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (26).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (26)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (412).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (412)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (53).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (53)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (98).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (98)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (127).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (127)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (207).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (207)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (314).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (314)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (106).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (106)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (176).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (176)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (176).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (176)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (281).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (281)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (18).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (18)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (210).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (210)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (8).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (8)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (25).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (25)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (13).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (13)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (422).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (422)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (263).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (263)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (148).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (148)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (50).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (50)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (96).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (96)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (82).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (82)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (334).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (334)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (213).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (213)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (142).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (142)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (79).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (79)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (110).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (110)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (123).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (123)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (124).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (124)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (237).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (237)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (75).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (75)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (370).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (370)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (174).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (174)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (41).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (41)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (264).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (264)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (40).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (40)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (292).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (292)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (206).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (206)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (24).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (24)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (326).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (326)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (137).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (137)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (252).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (252)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (131).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (131)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (194).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (194)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (198).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (198)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (398).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (398)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (39).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (39)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (291).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (291)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (170).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (170)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (170).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (170)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (354).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (354)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (52).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (52)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (71).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (71)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (396).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (396)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (169).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (169)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (357).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (357)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (436).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (436)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (155).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (155)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (61).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (61)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (397).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (397)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (382).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (382)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (393).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (393)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (346).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (346)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (157).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (157)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (77).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (77)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (192).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (192)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (320).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (320)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (193).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (193)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (233).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (233)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (54).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (54)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (287).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (287)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (110).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (110)_mask.png
